Round,Day,Date,Time,Age Grp,Division,Blank1,Home Team,Vs.,Away Team,Blank2,Location, 
11,Mon,9th Oct '23, ,OPEN1,Premier, ,MacPrem,Vs.,Bye, ,Bye, 
11,Mon,9th Oct '23,19:00,OPEN1,Div 1, ,MacPir,Vs.,PymLS, ,MAC1, 
11,Mon,9th Oct '23,19:00,OPEN1,Div 1, ,MacSmas,Vs.,HornBl, ,MAC1, 
11,Mon,9th Oct '23,19:30,OPEN1,Premier, ,JJWCham,Vs.,SUNSAv, ,JJW1, 
11,Mon,9th Oct '23,20:00,OPEN1,Div 3, ,RTTCD3,Vs.,SUNSCh, ,RTTC1, 
11,Tue,10th Oct '23,19:00,OPEN1,Div 5, ,MacAdv,Vs.,SUNSEver, ,MAC1, 
11,Tue,10th Oct '23,19:30,OPEN1,Div 4, ,JJWThun,Vs.,MacStri, ,JJW1, 
11,Tue,10th Oct '23,19:30,OPEN1,Div 2, ,AnnaNext,Vs.,JJWSM, ,ATTA1, 
11,Wed,11th Oct '23,18:45,OPEN1,Premier, ,PCYCPrem,Vs.,WillRed, ,PCYC1, 
11,Wed,11th Oct '23,18:45,OPEN1,Div 1, ,PCYC1A,Vs.,WillBlue, ,PCYC1, 
11,Wed,11th Oct '23,19:15,OPEN1,Div 3, ,CherIX,Vs.,MADAM, ,CBKTTC1, 
11,Wed,11th Oct '23,19:15,OPEN1,Div 2, ,CherVIII,Vs.,RTTCD2, ,CBKTTC1, 
11,Wed,11th Oct '23,19:15,OPEN1,Div 5, ,CherJun,Vs.,SUNSEne, ,CBKTTC1, 
11,Wed,11th Oct '23,19:30,OPEN1,Div 1, ,JJWSam,Vs.,NthNets, ,JJW1, 
11,Wed,11th Oct '23,19:30,OPEN1,Div 4, ,ForOwl,Vs.,PCYC4A, ,FOREST1, 
11,Wed,11th Oct '23,19:35,OPEN1,Div 4, ,ForWood,Vs.,PCYCFalc, ,FOREST1, 
11,Thu,12th Oct '23,18:45,OPEN1,Div 5, ,PCYC5D,Vs.,PCYC5C, ,PCYC1, 
11,Thu,12th Oct '23,18:45,OPEN1,Div 3, ,PCYC3A,Vs.,PymD3, ,PCYC1, 
11,Thu,12th Oct '23,18:45,OPEN1,Div 5, ,PCYC5F,Vs.,TBC, ,PCYC1, 
11,Thu,12th Oct '23,19:15,OPEN1,Div 4, ,PymLuck,Vs.,ForGump, ,CBKTTC1, 
11,Thu,12th Oct '23,19:15,OPEN1,Div 5, ,PymRab,Vs.,THD5, ,CBKTTC1, 
11,Thu,12th Oct '23,19:15,OPEN1,Div 4, ,CherFig,Vs.,MacChal, ,CBKTTC1, 
11,Fri,13th Oct '23,18:45,OPEN1,Premier, ,SUNSRis,Vs.,RTTCPrem, ,SUNS5, 
11,Fri,13th Oct '23,18:45,OPEN1,Div 4, ,PCYC4B,Vs.,ForEag, ,PCYC1, 
11,Fri,13th Oct '23,18:45,OPEN1,Div 5, ,PCYC5E,Vs.,MacPio, ,PCYC1, 
11,Fri,13th Oct '23,19:00,OPEN1,Div 3, ,NthBB,Vs.,Norw3D, ,NSL1, 
11,Fri,13th Oct '23,19:15,OPEN1,Div 2, ,PCYC2A,Vs.,ForKP, ,PCYC1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 3, ,ForSK,Vs.,JJWHero, ,FOREST1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 5, ,JJWSmil,Vs.,PCYC5A, ,JJW1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 4, ,SUNSDand,Vs.,SUNSDyn, ,SUNS1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 5, ,ForRis,Vs.,RTTCD5, ,FOREST1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 4, ,Norw4D,Vs.,HornOr, ,NORWEST1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 2, ,AnnaWin,Vs.,SUNSBla, ,ATTA1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 1, ,SUNSAlph,Vs.,ForPion, ,SUNS1, 
11,Fri,13th Oct '23,19:30,OPEN1,Div 3, ,SUNSCyc,Vs.,STTCDiv3, ,SUNS1, 
12,Sun,15th Oct '23, ,OPEN1,Div 4, ,Bye,Vs.,PCYC4A, ,Bye, 
12,Sun,15th Oct '23, ,OPEN1,Premier, ,Bye,Vs.,RTTCPrem, ,Bye, 
12,Mon,16th Oct '23,19:00,OPEN1,Div 1, ,MacSmas,Vs.,ForPion, ,MAC1, 
12,Mon,16th Oct '23,19:00,OPEN1,Div 1, ,MacPir,Vs.,WillBlue, ,MAC1, 
12,Mon,16th Oct '23,19:00,OPEN1,Div 4, ,MacChal,Vs.,HornOr, ,MAC1, 
12,Mon,16th Oct '23,19:00,OPEN1,Div 5, ,MacPio,Vs.,PymRab, ,MAC1, 
12,Mon,16th Oct '23,20:00,OPEN1,Div 5, ,THD5,Vs.,SUNSEne, ,THTTC1, 
12,Tue,17th Oct '23,19:00,OPEN1,Div 2, ,PCYC2A,Vs.,AnnaNext, ,PCYC1, 
12,Wed,18th Oct '23,18:45,OPEN1,Div 1, ,PCYC1A,Vs.,SUNSAlph, ,PCYC1, 
12,Wed,18th Oct '23,19:15,OPEN1,Div 1, ,PymLS,Vs.,JJWSam, ,CBKTTC1, 
12,Wed,18th Oct '23,19:30,OPEN1,Div 4, ,ForOwl,Vs.,PCYCFalc, ,FOREST1, 
12,Wed,18th Oct '23,19:30,OPEN1,Div 4, ,ForWood,Vs.,MacStri, ,FOREST1, 
12,Wed,18th Oct '23,19:30,OPEN1,Div 2, ,JJWSM,Vs.,CherVIII, ,JJW1, 
12,Wed,18th Oct '23,20:00,OPEN1,Div 2, ,RTTCD2,Vs.,AnnaWin, ,RTTC1, 
12,Thu,19th Oct '23,18:45,OPEN1,Div 5, ,PCYC5D,Vs.,CherJun, ,PCYC1, 
12,Thu,19th Oct '23,19:15,OPEN1,Div 4, ,CherFig,Vs.,JJWThun, ,CBKTTC1, 
12,Thu,19th Oct '23,19:15,OPEN1,Div 4, ,PymLuck,Vs.,SUNSDyn, ,CBKTTC1, 
12,Fri,20th Oct '23,18:45,OPEN1,Div 5, ,PCYC5C,Vs.,JJWSmil, ,PCYC1, 
12,Fri,20th Oct '23,18:45,OPEN1,Div 5, ,PCYC5A,Vs.,ForRis, ,PCYC1, 
4,Fri,20th Oct '23,18:45,OPEN1,Div 1, ,PCYC1A,Vs.,ForPion, ,PCYC1, 
12,Fri,20th Oct '23,19:00,OPEN1,Div 1, ,NthNets,Vs.,HornBl, ,NSL1, 
12,Fri,20th Oct '23,19:30,OPEN1,Div 5, ,TBC,Vs.,PCYC5E, ,VIVIAN1, 
12,Fri,20th Oct '23,19:30,OPEN1,Div 4, ,SUNSDand,Vs.,RTTCD4, ,SUNS1, 
12,Fri,20th Oct '23,19:30,OPEN1,Div 5, ,SUNSEver,Vs.,PCYC5F, ,SUNS1, 
12,Fri,20th Oct '23,19:30,OPEN1,Div 4, ,ForEag,Vs.,Norw4D, ,FOREST1, 
12,Fri,20th Oct '23,19:30,OPEN1,Div 2, ,SUNSBla,Vs.,ForKP, ,SUNS1, 
12,Fri,20th Oct '23,19:30,OPEN1,Premier, ,WillRed,Vs.,MacPrem, ,WTTC1, 
12,Fri,20th Oct '23,19:30,OPEN1,Premier, ,SUNSRis,Vs.,JJWCham, ,SUNS1, 
12,Fri,20th Oct '23,19:30,OPEN1,Premier, ,SUNSAv,Vs.,PCYCPrem, ,SUNS1, 
12,Fri,20th Oct '23,19:30,OPEN1,Div 4, ,ForGump,Vs.,PCYC4B, ,FOREST1, 
12,Fri,20th Oct '23,20:00,OPEN1,Div 5, ,RTTCD5,Vs.,MacAdv, ,RTTC1, 
